, Percent of Freshman Admits Course Volume ,,,,,,,,,,,,,,,,,,,,,,,,,,
,UC Berkeley,,,UC Davis,,,UC Irvine,,,UC Los Angeles,,,UC Merced,,,UC Riverside,,,UC San Diego,,,UC Santa Barbara,,,UC Santa Cruz,,
,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More,<5.0/Unknown,5.0 - 9.9,10.0 or More
2003,10,44,46,28,54,18,23,54,23,8,49,43,N/A,N/A,N/A,50,40,10,12,56,32,28,54,18,49,41,10
2004,9,42,49,24,55,20,20,55,25,7,47,46,N/A,N/A,N/A,45,44,11,10,55,35,24,56,20,39,49,13
2005,9,44,47,24,56,20,21,55,24,8,49,43,52,39,9,45,43,11,10,54,35,22,57,21,39,48,12
2006,9,42,50,27,55,18,20,55,24,7,49,44,52,40,8,47,43,10,11,55,34,23,58,20,40,49,12
2007,8,43,50,23,57,20,18,57,25,8,44,47,52,40,8,47,43,10,10,54,36,22,58,21,40,48,11
2008,9,40,51,20,57,24,18,56,26,8,42,50,52,40,8,47,44,10,9,54,37,20,57,24,37,51,12
2009,8,38,54,16,56,28,13,56,31,8,39,53,51,41,8,42,46,12,8,51,41,19,58,24,32,55,14
2010,9,31,59,16,57,28,12,56,33,10,36,54,49,44,8,38,49,3,9,49,42,15,58,27,30,56,14
2011,11,30,59,17,54,29,18,52,30,15,37,48,46,43,12,34,49,18,13,45,41,17,56,27,32,55,13
2012,12,30,58,20,53,27,22,49,30,20,32,48,47,44,8,33,51,16,17,42,42,19,55,26,34,52,14
2013,11,29,60,20,50,30,21,49,29,14,32,54,44,47,9,31,52,17,15,40,45,16,55,29,29,54,17
2014,10,30,61,19,48,33,20,48,32,12,30,57,41,49,10,28,53,19,15,38,47,16,53,32,28,53,18
2015,8,29,63,20,45,35,23,43,34,11,29,60,37,52,12,25,54,21,14,36,50,14,51,35,24,54,22
2016,7,29,64,21,44,35,21,43,36,10,27,63,41,48,11,28,52,20,13,36,50,15,49,37,25,53,23
2017,7,27,66,21,43,36,19,43,38,10,24,66,38,50,12,24,54,22,12,36,52,13,45,42,24,51,26
2018,7,27,66,20,43,37,21,39,40,9,22,69,34,52,14,20,55,25,12,33,55,13,43,44,22,50,29
2019,7,26,67,17,43,41,19,39,42,7,21,71,34,52,15,21,53,26,11,31,58,11,40,49,21,48,31
2020,6,28,66,18,42,39,18,38,45,7,22,70,39,47,13,23,52,26,10,34,56,10,42,49,22,50,28
2021,8,26,66,19,38,43,17,34,49,8,18,74,40,43,17,23,48,30,11,29,59,10,38,52,20,46,34
2022,6,28,65,15,38,47,13,36,51,8,19,73,42,40,18,24,45,30,12,30,58,11,36,53,18,44,38
2023,7,28,64,17,36,47,15,33,52,7,19,74,41,38,21,25,43,32,12,30,58,10,33,57,19,44,37
2024,5,25,69,15,33,52,14,31,55,7,16,77,39,38,23,25,42,33,10,27,62,9,33,59,18,42,39
2025,6,22,72,14,31,54,13,29,58,6,15,80,28,41,31,24,41,35,9,23,67,10,30,60,16,42,41
